Airport_ID,Name,City,Country,IATA_Code,ICAO_Code,Lat,Long,Altitude,Timezone,DST,Timezone
401,"Hildesheim","Hildesheim","Germany","","EDVM",52.179833,9.945667,293,1,"E","Europe/Berlin"
402,"Bremerhaven","Bremerhaven","Germany","BRV","EDWB",53.507081,8.572878,11,1,"E","Europe/Berlin"
403,"Emden","Emden","Germany","EME","EDWE",53.391186,7.227408,2,1,"E","Europe/Berlin"
404,"Leer Papenburg","Leer","Germany","","EDWF",53.271592,7.442344,3,1,"E","Europe/Berlin"
405,"Wilhelmshaven Mariensiel","Wilhelmshaven","Germany","WVN","EDWI",53.504833,8.053333,16,1,"E","Europe/Berlin"
406,"Borkum","Borkum","Germany","BMK","EDWR",53.5955,6.709167,3,1,"E","Europe/Berlin"
407,"Norderney","Norderney","Germany","NRD","EDWY",53.706822,7.230247,6,1,"E","Europe/Berlin"
408,"Flensburg Schaferhaus","Flensburg","Germany","FLF","EDXF",54.771772,9.378214,130,1,"E","Europe/Berlin"
409,"Rendsburg Schachtholm","Rendsburg","Germany","","EDXR",54.220928,9.600803,23,1,"E","Europe/Berlin"
410,"Westerland Sylt","Westerland","Germany","GWT","EDXW",54.91325,8.340472,51,1,"E","Europe/Berlin"
411,"Amari","Armari Air Force Base","Estonia","","EEEI",59.260286,24.208467,65,2,"E","Europe/Tallinn"
412,"Kardla","Kardla","Estonia","KDL","EEKA",58.990756,22.830733,18,2,"E","Europe/Tallinn"
413,"Kuressaare","Kuressaare","Estonia","URE","EEKE",58.229883,22.509494,14,2,"E","Europe/Tallinn"
414,"Parnu","Parnu","Estonia","EPU","EEPU",58.419044,24.472819,47,2,"E","Europe/Tallinn"
415,"Tallinn","Tallinn-ulemiste International","Estonia","TLL","EETN",59.413317,24.832844,131,2,"E","Europe/Tallinn"
416,"Tartu","Tartu","Estonia","TAY","EETU",58.307461,26.690428,219,2,"E","Europe/Tallinn"
417,"Enontekio","Enontekio","Finland","ENF","EFET",68.362586,23.424322,1005,2,"E","Europe/Helsinki"
418,"Eura","Eura","Finland","","EFEU",61.116112,22.201389,259,2,"E","Europe/Helsinki"
419,"Halli","Halli","Finland","KEV","EFHA",61.85605,24.7866,479,2,"E","Europe/Helsinki"
420,"Helsinki Malmi","Helsinki","Finland","HEM","EFHF",60.254558,25.042828,57,2,"E","Europe/Helsinki"
421,"Helsinki Vantaa","Helsinki","Finland","HEL","EFHK",60.317222,24.963333,179,2,"E","Europe/Helsinki"
422,"Hameenkyro","Hameenkyro","Finland","","EFHM",61.689656,23.073744,449,2,"E","Europe/Helsinki"
423,"Hanko","Hanko","Finland","","EFHN",59.848864,23.083583,20,2,"E","Europe/Helsinki"
522,"Durham Tees Valley Airport","Teesside","United Kingdom","MME","EGNV",54.509189,-1.429406,120,0,"E","Europe/London"
523,"Nottingham East Midlands","East Midlands","United Kingdom","EMA","EGNX",52.831111,-1.328056,306,0,"E","Europe/London"
524,"Llanbedr","Llanbedr","United Kingdom","","EGOD",52.811744,-4.123575,30,0,"E","Europe/London"
525,"Ternhill","Ternhill","United Kingdom","","EGOE",52.871164,-2.533561,272,0,"E","Europe/London"
526,"Shawbury","Shawbury","United Kingdom","","EGOS",52.798169,-2.668042,249,0,"E","Europe/London"
528,"Woodvale","Woodvale","United Kingdom","","EGOW",53.581575,-3.055522,37,0,"E","Europe/London"
529,"Kirkwall","Kirkwall","United Kingdom","KOI","EGPA",58.957778,-2.905,50,0,"E","Europe/London"
530,"Sumburgh","Sumburgh","United Kingdom","LSI","EGPB",59.878889,-1.295556,20,0,"E","Europe/London"
531,"Wick","Wick","United Kingdom","WIC","EGPC",58.458889,-3.093056,126,0,"E","Europe/London"
532,"Dyce","Aberdeen","United Kingdom","ABZ","EGPD",57.201944,-2.197778,215,0,"E","Europe/London"
533,"Inverness","Inverness","United Kingdom","INV","EGPE",57.5425,-4.0475,31,0,"E","Europe/London"
534,"Glasgow","Glasgow","United Kingdom","GLA","EGPF",55.871944,-4.433056,26,0,"E","Europe/London"
535,"Edinburgh","Edinburgh","United Kingdom","EDI","EGPH",55.95,-3.3725,135,0,"E","Europe/London"
536,"Islay","Islay","United Kingdom","ILY","EGPI",55.681944,-6.256667,56,0,"E","Europe/London"
537,"Prestwick","Prestwick","United Kingdom","PIK","EGPK",55.509444,-4.586667,65,0,"E","Europe/London"
538,"Benbecula","Benbecula","United Kingdom","BEB","EGPL",57.481111,-7.362778,19,0,"E","Europe/London"
539,"Scatsta","Scatsta","United Kingdom","SDZ","EGPM",60.432778,-1.296111,81,0,"E","Europe/London"
540,"Dundee","Dundee","United Kingdom","DND","EGPN",56.452499,-3.025833,17,0,"E","Europe/London"
541,"Stornoway","Stornoway","United Kingdom","SYY","EGPO",58.215556,-6.331111,26,0,"E","Europe/London"
542,"Tiree","Tiree","United Kingdom","TRE","EGPU",56.499167,-6.869167,38,0,"E","Europe/London"
543,"Leuchars","Leuchars","United Kingdom","ADX","EGQL",56.372889,-2.868444,38,0,"E","Europe/London"
544,"Lossiemouth","Lossiemouth","United Kingdom","LMO","EGQS",57.705214,-3.339169,42,0,"E","Europe/London"
545,"Cambridge","Cambridge","United Kingdom","CBG","EGSC",52.205,0.175,47,0,"E","Europe/London"
546,"Conington","Peterborough","United Kingdom","","EGSF",52.468056,-0.251111,26,0,"E","Europe/London"
547,"Norwich","Norwich","United Kingdom","NWI","EGSH",52.675833,1.282778,117,0,"E","Europe/London"
548,"Stansted","London","United Kingdom","STN","EGSS",51.885,0.235,348,0,"E","Europe/London"
549,"North Weald","North Weald","United Kingdom","","EGSX",51.721667,0.154167,321,0,"E","Europe/London"
550,"Sheffield City","Fowlmere","United Kingdom","","EGSY",53.394256,-1.388486,231,0,"E","Europe/London"
551,"Cranfield","Cranfield","United Kingdom","","EGTC",52.072222,-0.616667,358,0,"E","Europe/London"
552,"Exeter","Exeter","United Kingdom","EXT","EGTE",50.734444,-3.413889,102,0,"E","Europe/London"
553,"Bristol Filton","Bristol","United Kingdom","FZO","EGTG",51.519444,-2.590833,226,0,"E","Europe/London"
554,"Kidlington","Oxford","United Kingdom","OXF","EGTK",51.836944,-1.32,270,0,"E","Europe/London"
555,"Benson","Benson","United Kingdom","","EGUB",51.616389,-1.095833,226,0,"E","Europe/London"
556,"Lakenheath","Lakenheath","United Kingdom","","EGUL",52.409333,0.561,32,0,"E","Europe/London"
557,"Mildenhall","Mildenhall","United Kingdom","MHZ","EGUN",52.361933,0.486406,33,0,"E","Europe/London"
558,"Wattisham","Wattisham","United Kingdom","","EGUW",52.127283,0.956264,284,0,"E","Europe/London"
559,"Wyton","Wyton","United Kingdom","","EGUY",52.357167,-0.107833,135,0,"E","Europe/London"
560,"Fairford","Fairford","United Kingdom","FFD","EGVA",51.682167,-1.790028,286,0,"E","Europe/London"
561,"Brize Norton","Brize Norton","United Kingdom","BZZ","EGVN",51.749964,-1.583617,288,0,"E","Europe/London"
562,"Odiham","Odiham","United Kingdom","ODH","EGVO",51.234139,-0.942825,405,0,"E","Europe/London"
563,"Cosford","Cosford","United Kingdom","","EGWC",52.640028,-2.305578,272,0,"E","Europe/London"
564,"Northolt","Northolt","United Kingdom","NHT","EGWU",51.553,-0.418167,124,0,"E","Europe/London"
6890,"Dowagiac Municipal Airport","Dowagiac","United States","C91",\N,41.9929342,-86.1280125,748,-5,"U","America/New_York"
1126,"Alexandria Intl","Alexandria","Egypt","ALY","HEAX",31.183903,29.948889,-6,2,"U","Africa/Cairo"
1127,"Abu Simbel","Abu Simbel","Egypt","ABS","HEBL",22.375953,31.611722,616,2,"U","Africa/Cairo"
1128,"Cairo Intl","Cairo","Egypt","CAI","HECA",30.121944,31.405556,382,2,"U","Africa/Cairo"
1129,"Cairo West","Cairo","Egypt","","HECW",30.116362,30.915445,550,2,"U","Africa/Cairo"
1130,"Hurghada Intl","Hurghada","Egypt","HRG","HEGN",27.178317,33.799436,52,2,"U","Africa/Cairo"
1131,"El Gora","El Gorah","Egypt","EGR","HEGR",31.068975,34.129194,324,2,"U","Africa/Cairo"
1132,"Luxor Intl","Luxor","Egypt","LXR","HELX",25.671028,32.706583,294,2,"U","Africa/Cairo"
1133,"Mersa Matruh","Mersa-matruh","Egypt","MUH","HEMM",31.325356,27.221689,94,2,"U","Africa/Cairo"
1134,"Port Said","Port Said","Egypt","PSD","HEPS",31.279444,32.24,8,2,"U","Africa/Cairo"
1135,"St Catherine Intl","St. Catherine","Egypt","SKV","HESC",28.685278,34.0625,4368,2,"U","Africa/Cairo"
1136,"Aswan Intl","Aswan","Egypt","ASW","HESN",23.964356,32.819975,662,2,"U","Africa/Cairo"
1137,"El Tor","El-tor","Egypt","ELT","HETR",28.209028,33.645517,115,2,"U","Africa/Cairo"
1138,"Eldoret Intl","Eldoret","Kenya","EDL","HKEL",0.404458,35.238928,6941,3,"U","Africa/Nairobi"
1139,"Kakamega","Kakamega","Kenya","","HKKG",0.271342,34.787297,5020,3,"U","Africa/Nairobi"
1140,"Kisumu","Kisumu","Kenya","KIS","HKKI",-0.086139,34.728892,3796,3,"U","Africa/Nairobi"
1141,"Kitale","Kitale","Kenya","KTL","HKKT",0.971989,34.958556,6070,3,"U","Africa/Nairobi"
6889,"Cambridge Municipal Airport","Cambridge","United States","CDI",\N,39.9750278,-81.5775833,799,-5,"U","America/New_York"
1143,"Lodwar","Lodwar","Kenya","LOK","HKLO",3.121967,35.608692,1715,3,"U","Africa/Nairobi"
